TITLE,ARTIST,LABEL,NO.,YR,ALBUM/CD TITLE,
Freedom's Price,"Haas, Dee",Way,504,66, ,
Freedoms We've Been Fighting For,"Parrott, Tom",Broadside,LP 306,67,"Broadside Ballads, Vol. 4 ",
French Indochina 1954,Proudflesh,Wired Gnome,CD,6,Proudflesh  ,
Frightened Soldiers,"Gober, Hershel",AFS,"18,977",,Songs by Americans in the Vietnam War,
From A Cross To A Star,"Lee, Virginia et al",JRM,Cas 1978,86,"Vietnam, The Soldier's Story ",
From Another Time And Place,"Anthony, Sal",CQK,CD,7, ,
From Deep Inside My Heart To You,"Black, John",57th Street Prod.,CD,3,Meet Me In Vietnam ,
From Memphis To Vietnam,"Cook, John & Margie",Blake,241,68,,
From Over Here In Viet Nam,"Gatlin, Johnny",Iris Records,UR4M-2005,,,
From Saigon In The Mekong,"Witt, Gary W.",River Green Music,CD,97,All In Vain,
From Saigon To Little Rock,"Freeman, Charlie",Sun,1112,72, ,
From The Altar To Vietnam,"Story, Carl & Ramblin' Mountaineer",Scripture,LP,6?,From the Altar to Vietnam,
From The Mekong Delta,"Jorgensen, Sgt. John Peter",Sgt. J.P. Jorgensen,CD,5,Vietnam: A Sublime Homecoming,
From Viet Nam To Dolan,"Griffin, Buck",Foundation,10415,, ,
From Vietnam To The Route 66,"Cartland, Jonathan",,mp3,,Grey Like Sea,
From Viet Nam With Love,"Allen, Paul",E&M,1654,65,,
From Vietnam With Love - Part 1,"Scott, Cpl Charles E. (USMC)",Attack,274,66, ,
From Vietnam With Love - Part 11,"Scott, Cpl Charles E. (USMC)",Attack,274,66, ,
Front Line,"Wonder, Stevie",Tamla,LP 6002,82,Original Musiquarium I ,
Frühling In Vietnam (Spring In Vietnam),"Haller, Hanne",Elite Special,4102,72,,
Fuck You Jane Fonda,Unknown Singer,,Online,7?,,
Fuera Las Manos Chinas Del Vietnam Socialista,Siniestro Total,DRO,14,82, ,
Full Metal Jacket (I Wanna Be Your Drill Instructor),"Mead, Abigail",WB,8187,87,Full Metal Jacket ST ,
G.I.,"Scott, Earl",Decca,32177,67, ,
G.I. Bill,"Duvall, Rick",Rick Duvall,Cassette,87,Combat Assault,
G.I. Blues,"Havlicek, Dave",Topaz,1344,78,,
G.I. Guy,"Hall, Linda",Cuca,1070,62,,
G.I. Joe,"Charmaines, The",Fraternity,961,66,,
G.I. Joe,"Johnson, Lois",Epic,9898,66,,
G.I. Joe,"Stewart, Charlie",Janet,A30,6?,,
G.I. Joes,"Burke, Wally",Master,1084,6?,,
G.I. Loan,"Ross, 1st Lt. Bobby",ESR,1,90s,,
G.I. Movement,"Near, Holly",Redwood,LP 3800,73,Hang In There ,
"G.I. Pledge, A","Monday, Dan",Preview ,1431,67,,
G.I. Weekend Pass,"Phipps, Charlie",Rolando,45-1,, ,
G.I.'s Letter From Home,"Jackson, Wade",Tennessee,151,,,
G.I.'s Prayer - Hello God,"Bellows, Jon with Eddie Karnes",AR,137,6?, ,
Gallant Men,"Anthony, Ray",Capitol,5836,67,,
Gallant Men,"Bridges, Bridget",Bridget,No #,6?, ,
Gallant Men,"Dirksen, Everett",Capitol ,5805,66,Next Stop is Vietnam,
Gallant Men ,New Christy Minstrels,Columbia,44528,68, ,
Gallant Young Soldier,"Sears, Floyd",Silver Star,1018,6?, ,
Gallantry,"Mayer, Dennis A.",,Download,13,,
Galveston,"Campbell, Glen",Capitol,2428,69,Next Stop is Vietnam,
Galveston,"Gillespie, Dizzy",Solid State,2529,69,,
Galveston,"Ho, Don",Reprise,800,69,,
Galveston,"Kostelanetz, Andre",Columbia,LP 13282,69,Traces,
Galveston,Living Marimbas,RCA Camden,LP 2329,69,Galveston and Other Hits,
Galveston,Lonesome Valley Singers,Diplomat,LP 2471,69,Galveston,
Galveston,"Lovett, Colleen",P&L,No #,69,,
Galveston,"Nabors, Jim",Columbia,LP 9817,69,Galveston,
Galveston,Ventures,Liberty,LP 8061,69,Hawaii Five-O,
Galveston,"Webb, Jimmy",,,72,Letters  ,
Galveston,"Welk, Lawrewnce",Ranwood,842,69,Galveston,
Galveston,"Williams, Roger",Kapp,2007,69,,
Galveston Bay,"Springsteen, Bruce",Columbia,LP 67484,95,Ghost Of Tom Joad/Next Stop is Vietnam,
"Game Of War, The",Adam & Eve,Showcase,9806,6?, ,
"Game Of War, The","Reason Why, The",Cha Cha,780,6?, ,
Games Without Frontiers,"Gabriel, Peter",Mercury,76063,80, ,
Garret Trooper,"Trineer, Doug",Point,LP 273,67,The Green Beret ,
Garret Trooper,"Sadler, SSGT Barry",RCA,LP 3547,66,Ballads Of The Green Berets ,
Gather 'Round Children,"Marx, Jackie",Visions Unlimited,Cassette,88,The American Dream,
Gathered Memories,"Myer, Jonathan",Border City,SE-8,4,More FAC and Flying Songs,
Geboren Voor Vietnam,"Poons, Dick",Obelisk,K51.810,66,,
General Seneff,High Priced Help,Jewel,2,67,High Priced Help,
Generation,"Seay, Johnny",Lost Gold,CD,99,American Reflections ,
Generation Gap,"Harris, Eddie",Atlantic ,LP,69,Swiss Movement ,
Generation Gap,"Roberts, Ken",Preview ,1721,69,,
"Generation Of Peace, A","Wolfe, Richard",Admiral,800,7?,,
Gens Du Vietnam,"Marjentins, Les",Jupiter,1113,67,,
"Gentle Soldier, The","Scott, Tony",Dale,1001,67,Next Stop is Vietnam,
Genuine Good Bitch,"Jonas, Dick",Erosonic ,Album 4,97,Swamp Fox,
Get Back Home In The U.S.A.,"Hooker, John Lee",Black & Blue,LP 333023,69, ,
Get Involved,"Vanderlaan, Vera",Vanco,LP 2008,68,Torch Of Freedom,
Get Me Out Of Vietnam,"LeVine, Irv ",Erosonic ,Disc 7,2,Cold Warriors/Next Stop is Vietnam/SOBA 2002,
"Getting Short (Gee, I'd Like To Be In Ohio)","Proud, Dan",Dan Proud,CD,10,Songs From Nellingen,
Geurrilla My Dreams,"Genovese, Lem",Vihn Long Army Sur.,Cas 1987,87,Listening Post,
Ghetto Vietnam,Ballin A$$ Dame,Out of Bounds Ent.,CD,2,Murder Dog Presents…  ,
Ghetto Vietnam,RBL Posse,Right Way,CD,2,Military Minded - Ghetto Vietnam,
Ghost Gunner,Ole 1/27 Grunts,Ole 1/27 Grunts,mp3,3,Welcome Home Bro ,
Ghost Hunter,No Strings Attached,Accent,1246,6?, ,
Ghost Of My Youth,"Barkemeyer, Larry",Bark Moss Ent.,Cassette,97,20 Years Of Tears,
Ghost Of Vietnam,"Kyle, Dave",Interstate 40 Records,IR 2501,95, ,
Ghosts Of War,Slayer,Def Jam,LP 2403,88,South Of Heaven ,
GIB,"Hughes, Toby",Erosonic ,Album 14,5,Fast and Low,
Gift Of Life,"Fones, Bill N.",Private Tape,Cassette,??, ,
Gimme Shelter,"Clayton, Merry",A&M,802,70, ,
Gimme Shelter,"Copeland, Ruth",Invictus,9096,72, ,
Gimme Shelter,Grand Funk,Capitol,3160,71,,
Gimme Shelter,Rolling Stones,London,LP 4,69,Let It Bleed,
Girl From Vietnam,"Mullens, The",1 + 2,EP 107,, ,
"Girl In The Picture, The (Napalm Girl)",Yanah,Flying Snowman,CD,4,Girl In The Picture/Next Stop is Vietnam,
"Girl Next Door (Combat Nurse), The","McDonald, Country Joe",One Way,30991,95,Next Stop is Vietnam,
Girls In Saigon City,"Hall, Tom T.",Bear Family,CD,69,I Witness Life/100 Children ,
"Girl's Prayer, A","Hart, Ginger",KEF,2680,, ,
"Girls Who Wait, The","Locklin, Hank",RCA ,9710,69,,
Give Me A Try,Green Berets,Universal,55230,67,,
Give A Damn About Your Fellow Man (Parts 1 & 2),"Gordon, Benny",Estill,565,6?, ,
"Give Me Love, Give Me Peace On Earth","Harrison, George",Apple,LP 3410,73,Living In The Material World/GH ,
Give Me Operations,"Brand, Oscar & Bare  FACs",TRD,CD,1,The Wild Blue Over Vietnam,
Give Me Operations,"Jonas, Dick",Erosonic ,Album 5,97,Nickel On The Grass,
Give Me Operations,"Jonas, Dick",Border City,SE-2,1,SOBA-2000,
Give Me Operations - FAC Style,"Myer, Jonathan",Border City,SE-8,4,More FAC and Flying Songs,
Give Peace A Chance,"Armstrong, Louis & His Friends",Amsterdam,85016,7?, ,
Give Peace A Chance,"Bernstein, Elmer",ABC  ,LP 853,74,Trial Of Billy Jack ,
Give Peace A Chance,Cast,MGM,LP 2SE-14,70,The Strawberry Statement S/T,
Give Peace A Chance,"Cocker, Joe",A&M  ,1200,70, ,
Give Peace A Chance,"Harris, Johnny",WB,LP K 46054,7?, ,
Give Peace A Chance,Hot Chocolate Band,Apple,1812,69, ,
Give Peace A Chance,Jazz Crusaders,Liberty ,LP 11005,70,Give Peace A Chance,
Give Peace A Chance,"Miller, Mitch & The Gang",Atlantic ,LP 8277,71,Peace Sing-Along,
Give Peace A Chance,Peace Choir,Virgin,4-98839,91,,
Give Peace A Chance,Plastic Ono Band,Apple,1809,69,Next Stop is Vietnam,
Give Peace A Chance,"Russell, Leon  ",Shelter,LP 1001,70,Leon Russell ,
"Give Peace A Chance (Make Love, Not War)","Smith, Lonnie Liston",Columbia,1-11217,70, ,
Give Peace A Chance (Medley),"Curb, Mike, Congregation",CoBurt,LP 1002,70,Come Together,
Give The Facts,Cast: Attorney and Clients,Law U Records,LP 7-109,68,"Law, You and The Draft",
Give Them Guns,"Ratliff, Bo",CLW ,7011,70,,
Glad To Be Home,"Smith, C. & Cooper, J.",Seventy 7 Records,106,6?, ,
Glorioso Vietnam,"Jimínez, Andrés & Grupo Taoné Tipico",Paredon,LP 1035,78,Viva Puerto Rico Libre,
Glory Flying Regulations,"Jonas, Dick",Border City,SE-2,1,SOBA-2000,
Glory Flying Regulations No. 2,"Myer, Jonathan",Border City,SE-1a,0,"Songs of the O-1E ""Bird Dog""/SOBA-2002",
Glory To The Heroic Bi Nang Tac!,Various Artists,Paredon,LP 1009,71,Vietnam Will Win,
Go Down,"Flynt, Henry & The Insurrections",Locust?,CD,4,I Don't Wanna ,
Go Hide John,"Sovine, Red",Starday ,960,72, ,
Go Home Letter (I Wish That I Were You),"Barber, Glenn",Hickory,1494,66, ,
Go Tell It On The Mountain,"Dane, Barbara",Paredon,LP 1003,70,FTA! Songs Of The GI Resistance ,
Go To Hell Ayatollah,"Allen, Dick",Figlenny,100,80, ,
Go Ugly Early,"Orr, Sid",,CD,13,Vietnam: The Journey,
God And My Country,"McWilliams, David",Columbia,43793,66,,
God Bless America,"Charles, Norman",Columbia,44039,67,,
God Bless America,"Seay, Johnny",WB,LP 1659,66,Day For Decision,
God Bless America,Vettz,RDT Prod.,Cassette,8?,Welcome Home,
God Bless America,"Vinton, Bobby",Epic,10790,71, ,
God Bless America Again,"Bare, Bobby",RCA,264,69,Country Shots - God Bless America ,
God Bless America Again,"Creede, Jim",Mineral,501,,,
God Bless America Again,"Howard, Jan",Decca,LP 75166,69,For God And Country,
God Bless America Again,"Lynn, Loretta",Decca,LP 75351,72, ,
God Bless America Again,"Ritter, Tex",Capitol,2815,70, ,
God Bless America For What,Swamp Dogg,S.D.E.G.,CD,0,Excellent Sides of… ,
God Bless America Tonight,Vettz,Fraternity,3546,89, ,
God Bless My Darling He's Somewhere (In Viet Nam),"Nettles, Bill & His Dixie Blue Boys",Nett-Records,10002,65, ,
God Bless Our Soldier Boys In Vietnam,"Keith, Rodd & The Raindrops",Preview ,1029,66,,
God Bless The Boys In Uniform,Lonesome Valley Singers,Diplomat ,LP 2489,6?,God Bless The Working Man,
God Bless The Gun Plumber,"Jonas, Dick",Erosonic ,Album 3,97,Two Sides of Dick Jonas,
God Bless The Soldier,"Vincent, Rhonda",,,, ,
God Bless The U.S.A.,"Small, Britt & Festival",Max Stout,Cassette,85,Tattered Flags - Broken Promises,
God Bless The U.S.A.,"Steer, John",,CD,,"Hard Fought, Blood Bought  ",
God Bless The Vets,"Phillips, Adam ""Kool""",,,96,God Bless The Vets  ,
"God, Don't Let Them Burn Old Glory","Street, Del",American Image,1002,89, ,
"God, Guns, And Guts","Bramell, Bob",Fraternity,3451,81,,
God Help Us Lyndon,"Black, John",57th Street Prod.,CD,3,Meet Me In Vietnam ,
God Is On My Side,"Christie, Tony",MCA,3136,70,,
God Please Have Mercy In South Viet Nam,"Allen,  David & Tyger River Boys",Tyger River,1000,6?,,
God Please Protect America,"Moore, C. & Napier, B.",King,LP 982,66,Country Music Goes to Viet Nam ,
God Please Protect America,"Weed, Seymore",Vokes,104,65,,
God Save America,National Bank Of Sound,Sea-West,103,,,
(God Save..Soul..)..Boy Bound For Glory,Children Of Plenty,Metromedia,190,70,,
God Will Bring You Back From Vietnam,Dean & Marie,,,, ,
Godspeed,Red Jumpsuit Apparatus,Virgin,CD,9,Lonely Road ,
Goin Home,"Kernoczy, Bill & Nolan, Terry",SLV,CD,99,Strange Land Vietnam,
Going Home,"Prince, Frankie",Brite-Star,243,7?,,
Going Home,"Ryan, Terry",Tiffany,6835,6?,,
Going On Strike,"Emotions, The",,,,,
Goin' To Hell,"Warnke, Mike",,,,,
Going To Viet Nam Polka,Li'l Richard,Chicago Polkas,387,,,
Going To Vietnam,Big Amos,M.O.C.,665,67,Next Stop is Vietnam,
"Going To Vietnam, Pray For Me",Rouse Brothers,Solid Rock,124,6?, ,
Goin' Up The Country,Canned Heat,Liberty,56077,68, ,
Goin' Vietcong,"Chadbourne, Eugene",,,, ,
Golden Hour,"Waszkiewicz, M.C. & Jones, L.",Lea Jones Music,CD,7,Selector Switch On (Rock and Roll),
Golden Jockstrap,"LeVine, Irv et al",Border City,SE-4,0,Songs From Korat RTAFB,
"Goldwater Anthem, The",Mason-Dixon Quartet,Gold-Teen,641,64,,
"Gone, Gone, Gone",Red Shadow,?,CD,5,The Economics Rock & Roll Band ,
Gone To Vietnam,"Culverwell, Andrew",Polydor,LP 2343 035,71,Where Is The Love,
Gonna Be An Outlaw,"Scanlan, Dan (Cool Hand Uke)",Dan Scanlan,CD,72,Vietnam War Era Songs,
Gonna Study War No More (Part I),"Lutcher, Joe",Jordan,1204,, ,
Gonna Study War No More (Part I),"Lutcher, Joe",Jordan,1204,, ,
Good Christian Soldier,"Stegall, Red",Capitol,3119,71,,
"Good Man, A","Cash, June Carter",Columbia,45338,71, ,
"Good Man Is Hard To Find, A","Springsteen, Bruce",,,, ,
Good Mornin' Brother Hudson,"Kirkpatrick, Frederick Douglas",Broadside,LP 312,70,Broadside Ballads Vol. 5 ,
Good Morning Vietnam,Mission-X,Sabam,128304,91, ,
Good Morning Vietnam,Rage Against The Machine,,CD,, ,
Good Morning Vietnam,United States Air Force Band,US Air Force,9703,97,Your Nation's Air Force,
Good Morning Vietnam,"Williams, Robin",A&M ,CD 3913,88,S/T ,
Good Mourning Vietnam,"Von Tress, Don",War Pony Records,CD,2,Straight And Narrow,
Good Old Boys Like Me,"Williams, Don",MCA,41205,80, ,
Good Old Uncle Bob,"Proud, Dan",Dan Proud,CD,10,Songs From Nellingen,
Good Ship Society,Cumberlands,KY Vietnam Mem. Fund,LP,88,Reflections: A Memorial Tribute to Vietnam Veterans,
Goodbye,"Black, John",Silver Star,Cassette,91,Vietnam Farewell 0,
Goodbye,Wadsworth Mansion,Sussex,,70,,
Goodbye And Hello,"Buckley, Tim",Elektra,LP 74028,67,Goodbye And Hello,
Goodbye Curly Head,Lonesome Valley Singers,Diplomat ,LP ,65,Hello Vietnam: C&W War Songs,
Goodbye High School (Hello Vietnam),"Dee, Tommy",Sims,260,65,Next Stop is Vietnam,
"Goodbye My Darling, Hello Vietnam","Miller, Darnell",Design,SDLP-648 ,69,Games People Play in the Ghetto,
"Goodbye My Darling, Hello Vietnam",Unknown Artist,,,,,
"Good-bye My Soldier, Good-bye My Love",Suzie & Raindrops,Preview ,1280,67,,
"Goodbye My Son, Goodbye","Harrison, Danny",Deneba,7610,,,
"Goodbye My Son, Goodbye","Trevor, Van",Country Int.,114,74,,
Goodbye Saigon,"Wannebo, Dick & Country Caravan",Copper State,2023,,,
Goodbye To Viet Nam,"Hawkins, Kitty",Capa,130,66,,
Goodbye To West Virginia,"Ross, 1Lt Bobby",Constellation,31589,8?,,
Goodbye Travis Air Force Base,"Gober, Hershel  ",Bear Family,CD 16070,10,Next Stop is Vietnam,
Goodbye Viet Nam,"Hydrick, Jimmy",Gold Standard,283,6?,,
Goodbye Vietnam,"Coker, Jim & Friends",Antiano,6672,,,
Goodnight Saigon,"Baez, Joan",Gold Castle,CD,91,Brothers in Arms ,
Goodnight Saigon,"Joel, Billy",Columbia,3780,83,Greatest Hits 2 ,
Goodnight Saigon (Veterans Version),"Joel, Billy",Sony,CD,5,My Lives,
Goodnight Saigon,Ten,MTM Music,CD 19969,96,The Name Of The Rose ,
Goodnight Saigon,"van der Sloot, Ernst",,Download,, ,
Goodnight Saigon/Brothers In The Night,"Small, Britt & Festival",Max Stout,Fes #7,87,America Called,
Goodnight Sugar,"Howe, George & Davis, Carl",Decca,32588,70,,
Gordon (Vietnam-Lualu 2),"Holmberg, Kalle",Love,LP 1,66,,
Gorilla Drafted Into The Marine Corps,"Winters, Jonathan",Verve,LP,6?,,
Gory Gory,"Hatch, Jim",CWF,CD,96,Vietnam Aviator's Odyssey,
"Gory , Gory, What A Hell Of A Way To Die","Wollerton, Chinch",Border City,SE-6,2,SOBA-2001,
Got Me An Old Pan,Paul Luke Band,Catskill Mountain Rock,Cas,,Don't Take This Land ,
Gotta Go To Viet Nam,"Holland, Ray & The Lilly Cups",Aertaun,1106,66, ,
Gotta Ride,Driven,Driven,CD,9,Grassroots Patriots The Essence of Freedom,
Governor Rhodes,Jandek,,,7?,Telegram Melts ,
"Granite Wall, A","Carlson, Vern",,CD,94,There's Still A Light  ,
Grat Vietnam,"Leithaug, Bjarte",STOLP,4,84, ,
"Grave, The","McLean, Don",UA,LP 5535,71,American Pie ,
"Great Compromise, The","Prine, John",Atlantic,LP 7240,71,Diamonds in the Rough,
"Great Goodnight, The",Magellan,Magna Carta,MA-9045-2,2,Hundred Year Flood,
Great Jumpmaster In The Sky,"Raney, Ed",Storm,LSP 2702,7?,Songs Of The Sky Soldier,
"Great Mandella, The","Peter, Paul & Mary",WB ,LP 1700,67,Album 1700 ,
"Great Richard Nixon, The","Marshall, Gene",Preview ,2412,73,,
"Great Society, The","Carlyles, The",Audio,143,6?,,
Great White Whale,"Jonas, Dick",Erosonic ,Album 4,97,Swamp Fox,
"Green Beret, The","Ainsworth, Alyn",Parlophone,4419,6?,,
Green Beret,"F.U.'s, The",,Download,, ,
"Green Beret, The","Lavalle, Paul",RCA,LP 3600,66,Salute To Our Fighting Men In Vietnam,
Green Beret  ,Spragga Benz,Rookie ,14,,,
"Green Beret, The",U.S. Military Academy Band,MusicMusicMusic,8313,,,
Green Beret (Ballad Of The),"Alberts, Al",Stylist,801,6?,,
Green Beret And Friendly FAC,"Rosenberg, Chuck",Flying Fish,70552,91,In Country,
Green Beret And Friendly FAC,Walking Thunder,,CD,, ,
Green Beret's Last Request,"Keith, Rodd",Preview ,1365,67, ,
Green Berets,"Cummings, Conrad & Bird, Tom",CRI,CD 627,92,Photo-op,
"Green Berets, The",Danny Joe,Botly?,3027,6?,,
"Green Berets, The",L'Orchestra Cinematique,,mp3,,War in the Pacific,
"Green Berets Theme, The","Love, Geoff",MFP,LP 5171,71,Big War Movie Themes  ,
Green Flight Pay,"Broudy, Saul",Border City,SE-6,2,SOBA-2001,
Green Flight Pay,Merry Men,Jewel,1,67,,
Green Grammarians,"Droge, Dolf",AFS,"18,977",,Songs by Americans in the Vietnam War,
Green Green Grass Of Home,"Cash, Tommy",Epic,LP 26535,70,Six White Horses,
Green Green Grass Of Home,"Henderson, Skitch",Columbia,44333,68,,
Green Green Grass Of Home,"Jones, Tom",Parrot,40009,66,Greatest Hits 2 ,
Green Green Grass Of Home,"Nabors, Jim",Columbia,LP 9817,69,Galveston,
Green Green Grass Of Home,"Presley, Elvis",RCA,2635,75, ,
"Green, Green Grass Of Home","Wagoner, Porter",RCA,8622,65, ,
Green T-Shirt Blues,"Broudy, Saul",Flying Fish,70552,91,In Country,
Greetings (This Is Uncle Sam),Isley Brothers,Tamla,,72,Tamla/Motown Presents…  ,
Greetings (This Is Uncle Sam),Monitors,VIP,25032,66,Next Stop is Vietnam,
Greetings - This Is Uncle Sam,"Jay, George",ARV,A-5012,6?, ,
Greetings (This Is Uncle Sam),Valadiers,Miracle,6,61, ,
Greetings (This Is Uncle Sam),"Valdiers, The",Semen,1003,,,
Greetings (Uncle Sam Wants You),"Long, Shorty",Jamie,1315,66,Next Stop is Vietnam,
Grey October,"Seeger, Peggy?",,,66,,
Groans Under The Angel's Wing,"Kritzer, Matt & Lehman, Roger ",Fraternity,CD,0,Tales Of The Wolfhounds,
Ground Attack,"Barkemeyer, Larry",Bark Moss Ent.,Cassette,97,20 Years Of Tears,
"Ground Crew On Parade, The","Brand, Oscar & Bare  FACs",TRD,CD,1,The Wild Blue Over Vietnam,
Grover Henson Feels Forgotten,"Cosby, Bill",Uni,55223,70, ,
Grunt,"Ellis, Bill",First Team,78,67,Impressions Of A Skytrooper/Next Stop is Vietnam,
Grunt,"Jonas, Dick",Erosonic ,Album 6,97,Itazuke Tower,
Grunt,Reel Banditos,The Reel Banditos,CD,8,Indochina,
Grunt Song,"LeVine, Irv et al",Border City,SE-4,0,Songs From Korat RTAFB,
Guard From Uganda,,,,, ,
"Guerra De Vietnam, La",Los Aguilares,Norteno,240,,,
"Guerra De Vietnam, La",Los Conquistadores,Dib,CD,,,
"Guerra De Vietnam, La",Los Dos Navegantes,Ryn,172,,,
"Guerra De Vietnam, La",Los Golden Stars,FTA,50444,7?,,
Guilty,"Edwards, Francis",,CD,8,Vietnam Dreamscape,
Gung Ho,"Smith, Patti",Arista,CD,0,Gung Ho ,
Gunner With The Boys,"Gerhardt, Terry",Terry Gerhardt,Cassette,93,Muse In The Hole ,
"Gunnie, The","Chance, Lonnie",Beatjuice Records,CD,0,The Jungleman,
Guten Morgen Vietnam,Mortis,Show,1013,14,Hollywoodpsychose ,
"Guys, The","Donald, Roye",Wizmak Prod.,W579-12,91, ,
H20 Gate Blues,"Scott-Heron, Gil & Jackson, Brian",,,74,Winter In America ,
Had Any Lately,"Robinson, Sylvia",Vibrations,524,73,,
Hair Spray Song,"Droge, Dolf",Border City,SE-6,2,SOBA-2001,
Hallelujah--George Wallace,"Carousel, Vic",Golden Records,119,72,,
"Hallelujah, I'm A Bum","Dane, Barbara",Paredon,LP 1003,70,FTA! Songs Of The GI Resistance ,
Hallelujah Louisiana,"Penn, Dan",,,,,
Hamchunk Appears,"Rozsa, Miklos",WB,LP,68,The Green Berets S/T,
Hamchunk's Dog/Hamchunk's Tragedy,"Rozsa, Miklos",WB,LP,68,The Green Berets S/T,
Hammers And Sickles ,Charades,Monument,921,66,,
Hand Of Doom,Black Sabbath,Warner,LP 1887,71,Paranoid,
Hand Of God,"Kennedy, Judy",Judy Kennedy,Cassette,86,Walking Wounded,
"Handkerchief, The",Various Artists,Paredon,LP 1009,71,Vietnam Will Win,
Hands Across the Sea,"Markee, Millicent",Preview,1308,?,,
Hands Off,"Frederick, Bill",Crisis Records,LP 001,67,Songs of the U.S. Antiwar Movement,
Hands Off Nkrumah,"Kirkpatrick, Frederick Douglass",Broadside,LP 308,68,Everybody's Got A Right To Live ,
Handsome Johnny,"Havens, Richie",Verve,LP 3006,66, ,
Handsome Johnny,"Havens, Richie",MGM ,14141,66,,
Handsome Johnny,"Havens, Richie",Stormy Forest,666,66,,
Hang Down Your Boom Ross Cooley,"Durham, Bull",Border City,1002,1,Bull Durham's SONGS OF SAC/SONGS OF S.E.A.,
Hang In There,"Near, Holly",Redwood,LP 3800,73,Hang In There,
Hang Lt. Calley,"Harless, Smokey",Pabst Music,71006,71, ,
Hang On Bill,"Riddle, Rick",Dixie,107,71, ,
"Hang On, Air Force","221st Bird Dog ""Shotguns""",Border City,SE-3,1,FAC Songs from SEA,
Hang On To Your Hearts & Your Minds,"Droge, Dolf",AFS,"18,978",,Songs by Americans in the Vietnam War,
Hang Out Our Flag,"Nero, Al & Forum",Spiral,4003,,,
"Hang Out Your Ass, Young Covey","Franklin, Skip",Border City,SE-3,1,FAC Songs from SEA,
Hanging In My Mind,Sgt. Larry and the Souljers,Sgt. Larry…,CD,10,Bill The Undeclared War Opera,
Hanoi,"Numan, Gary",Cleopatra,CD,92,Machine + Soul ,
Hanoi Blues,"Gilson, Big & Ghreen, Alan",Gravadora Eldorado,CD 946087,96,Yellow Mojo Blues,
Hanoi Hannah,"McGuin, Roger",Columbia,LP 31946,73,Roger McGuinn/Next Stop is Vietnam,
Hanoi Hannah,"Morrow, Barry",Gang Of Seven,CD,91,Bill For Short,
Hanoi Hannah,"O'Connor, Karl & Sutton, Peter",Tresor,CD 147,0,Againstnature,
Hanoi Hoe-Down,Jim & Jean,Verve/Forecast,LP 3015,68,People World,
Hanoi Jane,"Clap, The",Strain,3,3,,
Hanoi Jane,"Rausch, Leon",Derrick ,100,73,Next Stop is Vietnam,
Happiness Dream (Wars No More),"Marshall, Gene",Preview ,2384,73,,
Happiness Is A Thing Called Joe,"Hawkins, Delores",Carney,1007,6?,,
"Happy Birthday, Son","Gorman, Mrs. Dorothy",Sound Town,500,, ,
Happy SAC Warrior,"Durham, Bull",Border City,1002,1,Bull Durham's SONGS OF SAC/SONGS OF S.E.A.,
"Happy Song For Hanoi, A","Homans, Bill",St. George Int.,LP ST 06,73,Bill Homans Merry Airbrakes,
Happy To Be (The Man You Like To See),"Ellis, Jimmie",Century City,,, ,
"Happy X'mas, War Is Over",Graham Boulevard,,mp3,,Vietnam Era: Vol. 2,
"Happy X'mas, War Is Over",Plastic Ono Band,Apple,1842,71,Next Stop is Vietnam,
"Hark, The Covey War Bird Sings","Clark, Fred",Border City,SE-3,1,FAC Songs from SEA,
Harold Land,Yes,Atlantic,CD,69,Yes (Original Recordings Reissued) ,
Haunted Still,"Maxner, Stephen",Stephen Maxner,Cassette,87,One Step Behind: Vietnam Reflections,
"Have Courage, Be Careful",Spokesmen,Decca,31874,65, ,
Have I Come Home To Die,"Moore, C. & Napier, B.",King,LP 982,66,Country Music Goes to Viet Nam ,
Have You Had Any Lately,"Robinson, Sylvia",Stang,5015,,,
Havoc At My Lai/Vietnam,"Cargill, Acie",CRC Inc,mp3,9,Aberrations,
Hayes Hall Blues,"Goth, Vizzy & Vicious Vandals",,Dwnld,70, ,
"He Ain't Heavy, He's My Brother","Small, Britt & Festival",Max Stout,Fes #7,87,America Called,
He Can't Go Back Home,"Orr, Sid",,CD,13,Vietnam: The Journey,
He Is My Dad,"Zehm, Bobby",Z Company,11451,6?,,
He Looks A Lot Like Me,Dion,Right Stuff,CD 29667,94,Dion ,
"(He Pretends He's) Red, White, And True","Jarrells, Don",Tonka,29,,,
He Said He Had A Friend,"Williams, Doc with Chickie",Wheeling,1047,72, ,
He Traded A Valley Of Blue Grass,"Brinson, Leb",Dal-Mor,695,69,,
He Wants To Put The Army In Jail,Original Cast,,,74,The Lieutenant S/T,
He Was A Guitar Player…Machinegun In Vietnam,"Stillo, Pompeo",Centaur,302,, ,
He Wears A Green Beret,"Orr, Billy",Bryte,17739,67, ,
He Won The Purple Heart (While Doing The Twist),"Jay, Herbie",Mala,447,63,,
He Wore The Green Beret,"Ames, Nancy",Epic,10003,66, ,
He Wore The Green Beret,"Miller, Lesley",RCA,8786,66,Next Stop is Vietnam,
He'll Be Back,"Players, The",Minit,32001,66,Soldier's Sad Story,
He's A Mighty Fightin' Man,"Box, JoAnn",Twin Records,No #,68, ,
He's A Wounded Winner,"Stamper, Bob",Country Star,1112,91, ,
He's Been Left Homeless,"Edwards, Francis",,CD,10,Angels Beyond the Abyss,
He's Comin' From Vietnam,Leford String Band,Rounder,8,72,,
He's Coming Home,Beverly Ann,RCA,47-9269,67, ,
